index,Regulator,Target,Sign,Model
1,AKT,AKT,positive,BL
2,EGFR,AKT,positive,BL
3,HER2,AKT,positive,BL
4,HER3,AKT,positive,BL
5,PTEN,AKT,negative,BL
6,CyclinB1,CyclinB1,positive,BL
7,EGFR,CyclinB1,positive,BL
8,HER3,CyclinB1,positive,BL
9,p53,CyclinB1,negative,BL
10,AKT,CyclinD,positive,BL
11,CyclinD,CyclinD,positive,BL
12,ERK,CyclinD,positive,BL
13,GSK3B,CyclinD,negative,BL
14,RPS6,CyclinD,positive,BL
15,EGFR,EGFR,positive,BL
16,erlotinib,EGFR,negative,BL
17,pertuzumab,EGFR,negative,BL
18,stimulus,EGFR,positive,BL
19,HER2,HER2,positive,BL
20,erlotinib,HER2,negative,BL
21,pertuzumab,HER2,negative,BL
22,stimulus,HER2,positive,BL
23,trastuzumab,HER2,negative,BL
24,HER3,HER3,positive,BL
25,PTEN,HER3,negative,BL
26,RPS6,HER3,positive,BL
27,erlotinib,HER3,negative,BL
28,pertuzumab,HER3,negative,BL
29,stimulus,HER3,positive,BL
30,ERK,ERK,positive,BL
31,RAF1,ERK,positive,BL
32,AKT,FOXO1FOXO3,negative,BL
33,FOXO1FOXO3,FOXO1FOXO3,positive,BL
34,CyclinD,GSK3B,positive,BL
35,GSK3B,GSK3B,positive,BL
36,p53,GSK3B,positive,BL
37,AKT,PRAS40,negative,BL
38,PRAS40,PRAS40,positive,BL
39,GSK3B,PTEN,negative,BL
40,PTEN,PTEN,positive,BL
41,CyclinD,RB,negative,BL
42,NFKB,RB,positive,BL
43,RB,RB,positive,BL
44,RPS6,RPS6,positive,BL
45,S6K,RPS6,positive,BL
46,AKT,TSC2,negative,BL
47,ERK,TSC2,negative,BL
48,GSK3B,TSC2,negative,BL
49,TSC2,TSC2,positive,BL
50,GSK3B,JUN,negative,BL
51,JUN,JUN,positive,BL
52,EGFR,RAF1,positive,BL
53,HER2,RAF1,positive,BL
54,ERK,RAF1,negative,BL
55,RAF1,RAF1,positive,BL
56,AKT,p38,positive,BL
57,p38,p38,positive,BL
58,CyclinB1,p53,positive,BL
59,PTEN,p53,positive,BL
60,RB,p53,positive,BL
61,p38,p53,positive,BL
62,p53,p53,positive,BL
63,stimulus,p53,positive,BL
64,ERK,S6K,positive,BL
65,NFKB,S6K,negative,BL
66,PRAS40,S6K,negative,BL
67,TSC2,S6K,negative,BL
68,S6K,S6K,positive,BL
69,AKT,AKT,positive,HL
70,CyclinB1,AKT,positive,HL
71,EGFR,AKT,positive,HL
72,HER2,AKT,positive,HL
73,HER3,AKT,positive,HL
74,PTEN,AKT,negative,HL
75,CyclinB1,CyclinB1,positive,HL
76,p53,CyclinB1,negative,HL
77,AKT,CyclinD,positive,HL
78,CyclinD,CyclinD,positive,HL
79,ERK,CyclinD,positive,HL
80,JUN,CyclinD,positive,HL
81,S6K,CyclinD,positive,HL
82,EGFR,EGFR,positive,HL
83,HER3,EGFR,positive,HL
84,JUN,EGFR,positive,HL
85,erlotinib,EGFR,negative,HL
86,pertuzumab,EGFR,negative,HL
87,stimulus,EGFR,positive,HL
88,HER2,HER2,positive,HL
89,erlotinib,HER2,negative,HL
90,pertuzumab,HER2,negative,HL
91,stimulus,HER2,positive,HL
92,trastuzumab,HER2,negative,HL
93,HER3,HER3,positive,HL
94,RPS6,HER3,positive,HL
95,erlotinib,HER3,negative,HL
96,pertuzumab,HER3,negative,HL
97,stimulus,HER3,positive,HL
98,EGFR,ERK,positive,HL
99,ERK,ERK,positive,HL
100,RAF1,ERK,positive,HL
101,AKT,FOXO1FOXO3,negative,HL
102,FOXO1FOXO3,FOXO1FOXO3,positive,HL
103,GSK3B,GSK3B,positive,HL
104,p53,GSK3B,positive,HL
105,AKT,PRAS40,negative,HL
106,PRAS40,PRAS40,positive,HL
107,JUN,PRAS40,positive,HL
108,GSK3B,PTEN,negative,HL
109,PTEN,PTEN,positive,HL
110,RAF1,PTEN,positive,HL
111,CyclinB1,RB,negative,HL
112,RB,RB,positive,HL
113,p53,RB,positive,HL
114,RPS6,RPS6,positive,HL
115,S6K,RPS6,positive,HL
116,AKT,TSC2,negative,HL
117,ERK,TSC2,negative,HL
118,GSK3B,TSC2,negative,HL
119,RB,TSC2,positive,HL
120,TSC2,TSC2,positive,HL
121,GSK3B,JUN,negative,HL
122,JUN,JUN,positive,HL
123,EGFR,RAF1,positive,HL
124,HER2,RAF1,positive,HL
125,ERK,RAF1,negative,HL
126,RAF1,RAF1,positive,HL
127,AKT,p38,positive,HL
128,p38,p38,positive,HL
129,CyclinB1,p53,positive,HL
130,RB,p53,positive,HL
131,p38,p53,positive,HL
132,p53,p53,positive,HL
133,ERK,S6K,positive,HL
134,PRAS40,S6K,negative,HL
135,TSC2,S6K,negative,HL
136,S6K,S6K,positive,HL
137,AKT,AKT,positive,BS
138,HER3,AKT,positive,BS
139,PDK1_pm,AKT,positive,BS
140,mTORC1,AKT,positive,BS
141,EGF,EGFR,positive,BS
142,EGFR,EGFR,positive,BS
143,PLCg,EGFR,positive,BS
144,erlotinib,EGFR,negative,BS
145,pertuzumab,EGFR,negative,BS
146,EGF,HER2,positive,BS
147,HER2,HER2,positive,BS
148,HER3,HER2,positive,BS
