ID	Score	Source	Perturbation	Observed node	Categorization
1	1.0	CycD=0		Cdc20	OFF
2	1.0	CycD=0		Cdh1	ON
3	1.0	CycD=0		CycA	OFF
4	1.0	CycD=0		CycB	OFF
5	1.0	CycD=0		CycE	OFF
7	1.0	CycD=0		Rb	ON
8	1.0	CycD=0		UbcH10	OFF
9	1.0	CycD=0		p27	ON
10	1.0	CycD=1	E2F CA	CycA	Some
11	1.0	CycD=1	E2F CA	CycE	ON
12	1.0	CycD=1	E2F CA	UbcH10	Some
14	1.0	CycD=0	E2F KO	CycA	OFF
15	1.0	CycD=0	E2F KO	CycE	OFF
16	1.0	CycD=0	E2F KO	p27	ON
18	1.0	CycD=1	Cdc20 CA	p27	OFF
20	1.0	CycD=0	p27 KO	E2F	OFF
21	1.0	CycD=0	CycB KO,CycE CA	CycA	Some
22	1.0	CycD=0	CycB KO,CycE CA	Rb	Some
23	1.0	CycD=0	Rb KO	Cdc20	Some
24	1.0	CycD=0	UbcH10 KO	E2F	OFF
25	1.0	CycD=0	UbcH10 KO	p27	ON
26	1.0	CycD=1		Cdc20	Some
27	1.0	CycD=1		Cdh1	Some
28	1.0	CycD=1		CycA	Some
30	1.0	CycD=1		CycE	Some
31	1.0	CycD=1		E2F	Some
32	1.0	CycD=1		Rb	OFF
33	1.0	CycD=1		UbcH10	Some
36	1.0	CycD=0	CycA CA	CycB	OFF/Some
37	1.0	CycD=0	CycA CA	CycE	OFF
39	1.0	CycD=0	CycA CA	p27	Some
41	1.0	CycD=0	Cdc20 KO	CycB	Some
42	1.0	CycD=0	Cdc20 KO	E2F	OFF
43	1.0	CycD=0	Cdc20 KO	p27	Some
44	1.0	CycD=0	p27 CA	CycA	OFF
45	1.0	CycD=0	CycE KO,E2F CA	Cdc20	OFF
46	1.0	CycD=0	CycE KO,E2F CA	CycB	OFF
48	1.0	CycD=1	Cdc20 KO	Cdh1	OFF
49	1.0	CycD=1	Cdc20 KO	UbcH10	ON
50	1.0	CycD=0	CycE KO	Cdc20	OFF
52	1.0	CycD=0	CycE KO	CycB	OFF
54	1.0	CycD=0	CycE KO	UbcH10	OFF
56	1.0	CycD=0	CycE CA,Rb CA	p27	Some
57	1.0	CycD=0	CycA KO	Cdc20	OFF
58	1.0	CycD=0	CycA KO	Cdh1	ON
59	1.0	CycD=0	CycA KO	Rb	Some
60	1.0	CycD=0	CycA KO	UbcH10	OFF
61	1.0	CycD=1	UbcH10 KO	p27	OFF
62	1.0	CycD=0	CycB CA,E2F KO	CycA	OFF
65	1.0	CycD=0	CycB CA	Cdh1	ON
68	1.0	CycD=0	CycB CA	p27	OFF
69	1.0	CycD=1	Cdh1 CA	CycB	OFF
70	1.0	CycD=1	CycA KO,CycE KO	UbcH10	OFF
71	1.0	CycD=1	p27 KO	Cdh1	Some
72	1.0	CycD=1	p27 KO	CycB	Some
73	1.0	CycD=1	p27 KO	E2F	Some
74	1.0	CycD=1	p27 CA	CycE	ON
75	1.0	CycD=1	CycE CA	Cdc20	Some
77	1.0	CycD=1	CycE CA	E2F	Some
78	1.0	CycD=1	CycE CA	UbcH10	Some
79	1.0	CycD=1	CycE CA	p27	OFF
80	1.0	CycD=1	CycE KO	Rb	OFF
82	1.0	CycD=1	CycA KO,E2F CA,p27 KO	UbcH10	OFF
83	1.0	CycD=1	CycE CA,E2F CA	Rb	OFF
84	1.0	CycD=1	CycE CA,E2F CA	UbcH10	Some
85	1.0	CycD=0	Cdc20 KO,CycE KO	CycB	Some
86	1.0	CycD=1	Rb KO	UbcH10	Some
87	1.0	CycD=0	CycE CA	Cdc20	OFF/Some
88	1.0	CycD=0	Cdc20 KO,E2F KO	p27	Some
89	1.0	CycD=0	CycB KO,E2F CA	Cdh1	Some
90	1.0	CycD=0	CycB KO,E2F CA	CycE	Some
91	1.0	CycD=1	Rb CA	CycE	OFF
92	1.0	CycD=1	E2F KO,Rb CA	Cdh1	ON
93	1.0	CycD=1	CycB KO,CycE KO,Rb KO	Cdh1	OFF
94	1.0	CycD=0	Cdh1 KO,p27 KO	CycE	Some
95	1.0	CycD=0	CycB KO	p27	Some
96	1.0	CycD=1	CycA CA	UbcH10	ON
97	1.0	CycD=1	E2F KO	p27	OFF
100	1.0	CycD=0	CycA KO,UbcH10 CA,p27 CA	Cdh1	ON
101	1.0	CycD=0	CycA KO,UbcH10 CA,p27 CA	Rb	ON
