ID	Score	Source	Perturbation	Observed node	Categorization
2	1.0		IAP KO,S1P CA	BID	OFF
4	1.0		IAP KO,S1P CA	Fas	OFF
5	1.0		IAP KO,S1P CA	sFas	Some
9	1.0			CTLA4	Some
10	1.0			Caspase	OFF
11	1.0			FLIP	Some
12	1.0			Fas	OFF
13	1.0			GPCR	Some
14	1.0			IAP	Some
15	1.0			IFNG	OFF
16	1.0			MCL1	Some
18	1.0			S1P	Some
19	1.0			SMAD	Some
20	1.0			TCR	Some
21	1.0			sFas	Some
22	1.0		BID CA,CTLA4 CA	CREB	OFF
23	1.0		CTLA4 KO,TCR KO	CREB	OFF
24	1.0		P2 KO	CREB	OFF
26	1.0		P2 KO	IAP	Some
28	1.0		P2 KO	S1P	Some
29	1.0		P2 KO	SMAD	Some
30	1.0		SMAD CA	CREB	OFF
32	1.0		SMAD CA	DISC	OFF
33	1.0		SMAD CA	FLIP	Some
34	1.0		SMAD CA	GPCR	Some
36	1.0		SMAD CA	S1P	Some
37	1.0		GPCR KO	CREB	OFF
38	1.0		GPCR KO	CTLA4	OFF/Some
39	1.0		MCL1 KO,sFas CA	CREB	OFF
40	1.0		MCL1 KO,sFas CA	TCR	OFF
41	1.0		IFNG CA,MCL1 KO	CREB	OFF
42	1.0		Fas KO	CREB	OFF
43	1.0		Fas KO	Caspase	OFF
44	1.0		Fas KO	DISC	OFF
45	1.0		Fas KO	IFNG	OFF
46	1.0		Fas KO	MCL1	Some
47	1.0		Fas KO	S1P	Some
48	1.0		Apoptosis KO	CREB	OFF
49	1.0		Apoptosis KO	Caspase	Some
50	1.0		Apoptosis KO	FLIP	Some
51	1.0		S1P CA	Apoptosis	Some
52	1.0		S1P CA	CREB	OFF
53	1.0		S1P CA	P2	Some
55	1.0		FLIP CA,GPCR KO	CREB	OFF
58	1.0		Apoptosis KO,BID CA,MCL1 CA	GPCR	Some
60	1.0		IAP CA	CREB	OFF
61	1.0		IAP CA	S1P	Some
62	1.0		IAP CA	SMAD	Some
63	1.0		Caspase KO	CREB	OFF
64	1.0		Caspase KO	SMAD	Some
65	1.0		FLIP KO,SMAD KO	CREB	OFF
67	1.0		FLIP KO,SMAD KO	IFNG	OFF
68	1.0		MCL1 KO,SMAD CA	CREB	OFF
70	1.0		MCL1 KO,SMAD CA	GPCR	OFF
71	1.0		Ceramide KO,SMAD KO	CREB	OFF
72	1.0		Ceramide KO,SMAD KO	CTLA4	OFF/Some
73	1.0		Fas KO,MCL1 KO	CREB	OFF
74	1.0		DISC KO,MCL1 KO	CREB	OFF
75	1.0		DISC KO,MCL1 KO	IAP	OFF
76	1.0		GPCR CA	Apoptosis	Some
77	1.0		GPCR CA	CREB	OFF
78	1.0		GPCR CA	DISC	OFF
79	1.0		GPCR CA	FLIP	Some
80	1.0		GPCR CA	IFNG	OFF
81	1.0		GPCR CA	MCL1	Some
83	1.0		IAP KO	CREB	OFF
84	1.0		BID CA,SMAD KO	CREB	OFF
85	1.0		BID CA,SMAD KO	FLIP	OFF
86	1.0		Apoptosis CA	CREB	OFF
87	1.0		Apoptosis CA	MCL1	OFF
88	1.0		Apoptosis CA	sFas	OFF
89	1.0		CTLA4 CA,P2 KO	CREB	OFF
90	1.0		CTLA4 CA,P2 KO	DISC	OFF
91	1.0		CTLA4 CA,P2 KO	IAP	Some
92	1.0		TCR CA	CREB	OFF
93	1.0		TCR CA	DISC	OFF
94	1.0		TCR CA	S1P	Some
95	1.0		IFNG KO	CREB	OFF
96	1.0		IFNG KO	P2	Some
97	1.0		DISC KO,S1P CA	CREB	OFF
99	1.0		MCL1 CA	BID	OFF
101	1.0		MCL1 CA	CTLA4	Some
102	1.0		MCL1 CA	DISC	OFF
103	1.0		Apoptosis CA,CTLA4 CA,Fas CA,IAP CA,TCR CA	CREB	OFF
104	1.0		Apoptosis CA,CTLA4 CA,Fas CA,IAP CA,TCR CA	IFNG	OFF
105	1.0		CTLA4 KO,IAP KO,sFas CA	CREB	OFF
106	1.0		Caspase CA,Ceramide CA	CREB	OFF
107	1.0		TCR KO	CREB	OFF
108	1.0		TCR KO	SMAD	Some
110	1.0		DISC KO	FLIP	Some/ON
112	1.0		CTLA4 CA,TCR CA	SMAD	Some
114	1.0		CTLA4 CA	DISC	OFF
117	1.0		FLIP KO,GPCR KO	BID	OFF
118	1.0		FLIP KO,GPCR KO	CREB	OFF
119	1.0		FLIP KO,GPCR KO	P2	Some
120	1.0		BID CA,Caspase KO,DISC KO	CREB	OFF
122	1.0		FLIP CA,SMAD KO	CREB	OFF
123	1.0		FLIP CA,SMAD KO	Fas	OFF
124	1.0		Ceramide KO	CREB	OFF
126	1.0		Ceramide KO	FLIP	Some
128	1.0		P2 CA	CREB	OFF
129	1.0		P2 CA	Ceramide	OFF
130	1.0		P2 CA	SMAD	Some
131	1.0		Caspase KO,FLIP KO	CREB	OFF
132	1.0		Caspase KO,FLIP KO	sFas	Some
133	1.0		Apoptosis CA,GPCR CA	CREB	OFF
134	1.0		Caspase CA	CREB	OFF
135	1.0		Caspase CA	S1P	OFF
137	1.0		DISC CA	CREB	OFF
138	1.0		DISC CA	Caspase	OFF
140	1.0		SMAD KO	CREB	OFF
141	1.0		SMAD KO	DISC	OFF
142	1.0		SMAD KO	IFNG	OFF
143	1.0		Ceramide KO,sFas CA	CREB	OFF
144	1.0		FLIP CA	CREB	OFF
145	1.0		FLIP CA	Ceramide	OFF
147	1.0		FLIP CA	TCR	Some
148	1.0		FLIP CA,P2 CA	BID	OFF
149	1.0		FLIP CA,P2 CA	CREB	OFF
150	1.0		FLIP CA,P2 CA	DISC	OFF
151	1.0		MCL1 KO	CREB	OFF
153	1.0		S1P KO,TCR KO	CREB	OFF
154	1.0		S1P KO,TCR KO	GPCR	OFF
155	1.0		S1P KO,TCR KO	sFas	OFF
157	1.0		S1P KO	CREB	OFF
158	1.0		sFas KO	CREB	OFF
159	1.0		sFas KO	GPCR	Some
160	1.0		BID KO	CREB	OFF
161	1.0		BID KO	GPCR	Some
162	1.0		Apoptosis KO,S1P CA	CREB	OFF
163	1.0		Apoptosis KO,S1P CA	SMAD	ON
165	1.0		FLIP KO,GPCR CA	Caspase	OFF
166	1.0		FLIP CA,TCR CA	CREB	OFF
168	1.0		FLIP CA,TCR CA	sFas	Some
169	1.0		FLIP KO	CREB	OFF
170	1.0		MCL1 KO,TCR CA	CREB	OFF
173	1.0		sFas CA	CREB	OFF
174	1.0		sFas CA	SMAD	Some
175	1.0		CTLA4 KO,Fas CA	Apoptosis	Some
176	1.0		CTLA4 KO,Fas CA	CREB	OFF
177	1.0		CTLA4 KO,Fas CA	S1P	Some
178	1.0		BID CA,Fas CA,GPCR KO	CREB	OFF
179	1.0		IAP KO,P2 KO	CREB	OFF
180	1.0		IAP KO,P2 KO	Ceramide	OFF
