id,weight,sources,perturbation,phenotype,expected_exists
1,1.0,IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; APC=0; IL15_e=0; IL21_e=0; IFNG_e=0; IL10_e=0; IL23_e=0; IL27_e=0; IL2_e=0; IL4_e=0; IL6_e=0; TGFB_e=0; DLL1=0; IL7_e=0,,TBET=0; IFNG=0; GATA3=0; IL4=0,true
2,1.0,APC=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL15_e=0; IL21_e=0;  IFNG_e=0; IL10_e=0; IL6_e=0; TGFB_e=0; IL4_e=0; IL23_e=0; IL27_e=0,IFNG=1,TBET=1; IFNG=1; GATA3=0; IL4=0,true
3,1.0,IL12_e=1; IL18_e=1; IFNB_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; APC=0; IL15_e=0; IL21_e=0; IFNG_e=0; IL10_e=0; IL23_e=0; IL27_e=0; IL2_e=0; IL4_e=0; IL6_e=0; TGFB_e=0; DLL1=0; IL7_e=0,IFNG=1,IFNG_2=1,true
4,1.0,IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; APC=0; IL15_e=0; IL21_e=0; IFNG_e=0; IL10_e=0; IL23_e=0; IL27_e=0; IL2_e=0; IL4_e=0; IL6_e=0; TGFB_e=0; DLL1=0; IL7_e=0,IL4=1,TBET=0; IFNG=0; GATA3=1; IL4=1,true
5,1.0,IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; APC=0; IL15_e=0; IL21_e=0; IFNG_e=0; IL10_e=0; IL23_e=0; IL27_e=0; IL2_e=0; IL4_e=0; IL6_e=0; TGFB_e=0; DLL1=0; IL7_e=0,,IFNGR_2=1,false
6,1.0,IL12_e=1; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; APC=0; IL15_e=0; IL21_e=0; IFNG_e=0; IL10_e=0; IL23_e=0; IL27_e=0; IL2_e=0; IL4_e=0; IL6_e=0; TGFB_e=0; DLL1=0; IL7_e=0,,TBET=0; IFNG=0; GATA3=0; IL4=0,false
7,1.0,IL12_e=0; IL18_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL15_e=0; IL21_e=0;  IFNG_e=0; IL10_e=0; IL23_e=0; IL2_e=0; IL4_e=0; IL6_e=0; TGFB_e=0; APC=0; IL27_e=0,TCR=0,TBET=0; IFNG=0; GATA3=0; IL4=0,true 
8,1.0,IL12_e=0; IL18_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL15_e=0; IL21_e=0;  IFNG_e=0; IL10_e=0; IL23_e=0; IL2_e=0; IL4_e=0; IL6_e=0; TGFB_e=0; APC=0; IL27_e=0,TCR=0,TBET=1; IFNG=1; GATA3=0; IL4=0,true
9,1.0,IL12_e=0; IL18_e=0; IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL15_e=0; IL21_e=0;  IFNG_e=0; IL10_e=0; IL23_e=0; IL2_e=0; IL4_e=0; IL6_e=0; TGFB_e=0; APC=0; IL27_e=0,TCR=0,TBET=0; IFNG=0; GATA3=1; IL4=1,true
10,1.0,IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0,true
11,1.0,IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,NFAT=0; TBET=1; IFNG=0; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0,true
12,1.0,IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL25_e=0; IL29_e=0; IL7_e=0; DLL1=0; IL18_e=0,,TBET=1; IFNG=1; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0,true
13,1.0,IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,NFAT=1; TBET=1; IFNG=0; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0,true
14,1.0,IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,NFAT=0; TBET=0; IFNG=0; GATA3=1; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0,true
15,1.0,IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,TBET=0; IFNG=0; GATA3=1; IL4=1; FOXP3=0; TGFB=0; RORGT=0; IL17=0,true
16,1.0,IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,NFAT=1; TBET=0; IFNG=0; GATA3=1; IL4=0; FOXP3=0; TGFB=0; RORGT=0; IL17=0,true
17,1.0,IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=1; TGFB=1; RORGT=0; IL17=0,true
18,1.0,IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,TBET=0; IFNG=0; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=1; IL17=0,true
19,1.0,IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,TBET=1; IFNG=0; GATA3=0; IL4=0; FOXP3=0; TGFB=0; RORGT=1; IL17=1,true
20,1.0,IL25_e=0; IL29_e=0; IL36_e=0; IL33_e=0; IL1_e=0; IFNA_e=0; IL7_e=0; DLL1=0; IL18_e=0,,TBET=0; IFNG=0; GATA3=1; FOXP3=0; TGFB=0; RORGT=1; IL17=0,true
